ID,Name,Mark
184,Student_184,4.25
185,Student_185,4.68
186,Student_186,7.57
187,Student_187,0.33
188,Student_188,4.38
189,Student_189,2.01
190,Student_190,8.54
191,Student_191,0.51
192,Student_192,1.80
193,Student_193,3.29
194,Student_194,7.51
195,Student_195,5.45
196,Student_196,1.19
197,Student_197,4.10
198,Student_198,1.22
199,Student_199,9.29
200,Student_200,2.56
201,Student_201,6.69
202,Student_202,4.79
203,Student_203,4.69
204,Student_204,9.18
205,Student_205,4.83
206,Student_206,6.32
207,Student_207,2.69
208,Student_208,2.98
209,Student_209,7.12
210,Student_210,1.67
211,Student_211,0.36
212,Student_212,2.91
213,Student_213,7.58
214,Student_214,8.97
215,Student_215,2.12
216,Student_216,7.27
217,Student_217,0.36
218,Student_218,3.03
219,Student_219,1.60
220,Student_220,2.63
221,Student_221,6.17
222,Student_222,7.87
223,Student_223,3.42
224,Student_224,7.74
225,Student_225,9.13
226,Student_226,3.48
227,Student_227,1.99
228,Student_228,5.95
229,Student_229,0.42
230,Student_230,0.45
231,Student_231,9.18
232,Student_232,6.37
233,Student_233,0.68
234,Student_234,2.13
235,Student_235,2.49
236,Student_236,5.57
237,Student_237,9.84
238,Student_238,9.04
239,Student_239,2.75
240,Student_240,5.55
241,Student_241,5.21
242,Student_242,1.36
243,Student_243,9.63
244,Student_244,1.86
245,Student_245,7.86
246,Student_246,3.14
247,Student_247,5.11
248,Student_248,9.27
249,Student_249,9.98
250,Student_250,0.59
251,Student_251,1.33
252,Student_252,2.69
253,Student_253,1.74
254,Student_254,8.87
255,Student_255,9.87
256,Student_256,3.59
257,Student_257,4.40
258,Student_258,7.16
259,Student_259,1.03
260,Student_260,6.45
261,Student_261,4.68
262,Student_262,5.48
263,Student_263,6.22
264,Student_264,6.42
265,Student_265,5.39
266,Student_266,4.51
267,Student_267,4.00
268,Student_268,6.25
269,Student_269,5.04
270,Student_270,8.30
271,Student_271,4.04
272,Student_272,2.41
273,Student_273,8.31
274,Student_274,1.82
275,Student_275,8.55
276,Student_276,4.68
277,Student_277,4.46
278,Student_278,8.92
279,Student_279,1.12
280,Student_280,8.10
281,Student_281,8.40
282,Student_282,0.36
283,Student_283,8.64
284,Student_284,8.75
285,Student_285,0.75
286,Student_286,6.49
287,Student_287,7.22
288,Student_288,6.33
289,Student_289,9.35
290,Student_290,9.46
291,Student_291,3.94
292,Student_292,4.25
293,Student_293,3.90
294,Student_294,8.43
295,Student_295,5.72
296,Student_296,6.50
297,Student_297,0.68
298,Student_298,8.54
299,Student_299,7.80
300,Student_300,7.01
301,Student_301,3.39
302,Student_302,4.74
303,Student_303,9.66
304,Student_304,8.98
305,Student_305,3.22
306,Student_306,2.91
307,Student_307,3.64
308,Student_308,6.38
309,Student_309,2.89
310,Student_310,8.12
311,Student_311,5.18
312,Student_312,8.00
313,Student_313,2.55
314,Student_314,7.46
315,Student_315,5.46
316,Student_316,2.51
317,Student_317,3.97
318,Student_318,0.88
319,Student_319,2.04
320,Student_320,7.01
321,Student_321,3.29
322,Student_322,6.79
323,Student_323,8.88
324,Student_324,5.05
325,Student_325,4.09
326,Student_326,0.69
327,Student_327,7.98
328,Student_328,4.71
329,Student_329,3.54
330,Student_330,0.08
331,Student_331,4.56
332,Student_332,5.34
333,Student_333,5.10
334,Student_334,9.27
335,Student_335,0.74
336,Student_336,7.57
337,Student_337,7.51
338,Student_338,6.17
339,Student_339,7.74
340,Student_340,8.16
341,Student_341,7.85
342,Student_342,2.34
343,Student_343,9.47
344,Student_344,7.30
345,Student_345,6.22
346,Student_346,7.54
347,Student_347,3.32
348,Student_348,1.74
349,Student_349,5.27
350,Student_350,4.08
351,Student_351,4.78
352,Student_352,7.37
353,Student_353,0.46
354,Student_354,1.93
355,Student_355,8.38
356,Student_356,6.99
357,Student_357,0.87
358,Student_358,7.01
359,Student_359,5.13
360,Student_360,3.08
361,Student_361,7.87
362,Student_362,6.94
363,Student_363,0.84
364,Student_364,7.50
365,Student_365,2.30
366,Student_366,6.05
367,Student_367,5.88
368,Student_368,4.09
369,Student_369,6.01
370,Student_370,5.87
371,Student_371,5.35
372,Student_372,2.30
373,Student_373,9.84
374,Student_374,6.34
375,Student_375,5.81
376,Student_376,6.33
377,Student_377,6.14
378,Student_378,2.86
379,Student_379,5.38
380,Student_380,2.15
381,Student_381,7.87
382,Student_382,5.47
383,Student_383,5.36
384,Student_384,2.92
385,Student_385,8.46
386,Student_386,1.61
387,Student_387,3.61
388,Student_388,8.48
389,Student_389,3.21
390,Student_390,4.46
391,Student_391,0.33
392,Student_392,9.98
393,Student_393,8.12
394,Student_394,4.62
395,Student_395,0.73
396,Student_396,1.39
397,Student_397,8.15
398,Student_398,6.53
399,Student_399,4.17
400,Student_400,3.81
401,Student_401,2.40
402,Student_402,9.41
403,Student_403,6.93
404,Student_404,9.18
405,Student_405,7.37
406,Student_406,8.84
407,Student_407,2.70
408,Student_408,0.48
409,Student_409,4.31
410,Student_410,3.92
411,Student_411,8.97
412,Student_412,7.52
413,Student_413,7.54
414,Student_414,0.75
415,Student_415,4.84
416,Student_416,7.53
417,Student_417,4.24
418,Student_418,5.90
419,Student_419,0.18
420,Student_420,0.63
421,Student_421,5.43
422,Student_422,1.30
423,Student_423,4.13
424,Student_424,0.13
425,Student_425,1.58
426,Student_426,9.97
427,Student_427,0.37
428,Student_428,0.31
429,Student_429,5.37
430,Student_430,9.70
431,Student_431,6.66
432,Student_432,0.92
433,Student_433,0.78
434,Student_434,1.91
435,Student_435,7.49
436,Student_436,1.34
437,Student_437,9.88
438,Student_438,5.63
439,Student_439,2.29
440,Student_440,3.50
441,Student_441,1.70
442,Student_442,1.50
443,Student_443,3.32
444,Student_444,3.25
445,Student_445,7.72
446,Student_446,9.66
447,Student_447,7.89
448,Student_448,4.39
449,Student_449,2.55
450,Student_450,4.32
451,Student_451,0.56
452,Student_452,9.19
453,Student_453,2.28
454,Student_454,0.63
455,Student_455,3.04
456,Student_456,7.40
457,Student_457,4.65
458,Student_458,7.96
459,Student_459,0.29
460,Student_460,2.45
461,Student_461,9.15
462,Student_462,3.46
463,Student_463,1.24
464,Student_464,7.19
465,Student_465,2.38
466,Student_466,0.13
467,Student_467,4.15
468,Student_468,9.66
469,Student_469,6.28
470,Student_470,0.18
471,Student_471,1.87
472,Student_472,5.96
473,Student_473,8.16
474,Student_474,4.28
475,Student_475,7.73
476,Student_476,8.16
477,Student_477,1.50
478,Student_478,7.22
479,Student_479,1.42
480,Student_480,8.43
481,Student_481,2.04
482,Student_482,3.73
483,Student_483,8.10
484,Student_484,1.19
485,Student_485,2.20
486,Student_486,4.10
487,Student_487,5.40
488,Student_488,5.22
489,Student_489,7.74
490,Student_490,6.38
491,Student_491,0.65
492,Student_492,1.27
493,Student_493,9.51
494,Student_494,2.06
495,Student_495,6.12
496,Student_496,4.41
497,Student_497,2.21
498,Student_498,0.55
499,Student_499,7.83
500,Student_500,6.55
501,Student_501,4.24
502,Student_502,6.51
503,Student_503,5.24
504,Student_504,3.93
505,Student_505,3.65
506,Student_506,6.94
507,Student_507,5.12
508,Student_508,9.63
509,Student_509,5.55
510,Student_510,3.68
511,Student_511,4.09
512,Student_512,5.20
513,Student_513,3.81
514,Student_514,2.97
515,Student_515,7.67
516,Student_516,0.99
517,Student_517,3.81
518,Student_518,0.32
519,Student_519,9.41
520,Student_520,9.75
521,Student_521,4.03
522,Student_522,3.56
523,Student_523,4.24
524,Student_524,1.67
525,Student_525,8.05
526,Student_526,4.77
527,Student_527,6.70
528,Student_528,5.96
529,Student_529,0.79
530,Student_530,6.82
531,Student_531,4.05
532,Student_532,1.23
533,Student_533,5.00
534,Student_534,9.55
535,Student_535,8.73
536,Student_536,2.83
537,Student_537,5.74
538,Student_538,3.79
539,Student_539,5.82
540,Student_540,7.08
541,Student_541,1.01
542,Student_542,8.12
543,Student_543,1.78
544,Student_544,1.20
545,Student_545,7.52
546,Student_546,9.25
547,Student_547,7.85
548,Student_548,1.01
549,Student_549,0.46
550,Student_550,3.28
551,Student_551,8.38
552,Student_552,0.70
553,Student_553,7.01
554,Student_554,4.17
555,Student_555,2.42
556,Student_556,7.01
557,Student_557,4.16
558,Student_558,0.59
559,Student_559,0.91
560,Student_560,2.16
561,Student_561,5.90
562,Student_562,1.37
563,Student_563,7.87
564,Student_564,2.13
565,Student_565,9.00
566,Student_566,7.78
567,Student_567,6.97
568,Student_568,1.53
569,Student_569,8.47
570,Student_570,2.88
571,Student_571,6.84
572,Student_572,8.71
573,Student_573,6.18
574,Student_574,0.56
575,Student_575,4.10
576,Student_576,0.66
577,Student_577,0.10
578,Student_578,1.33
579,Student_579,9.82
580,Student_580,1.99
581,Student_581,8.03
582,Student_582,5.61
583,Student_583,8.30
584,Student_584,4.86
585,Student_585,1.80
586,Student_586,7.92
587,Student_587,8.89
588,Student_588,1.86
589,Student_589,5.54
590,Student_590,4.16
591,Student_591,8.06
592,Student_592,4.66
593,Student_593,9.42
594,Student_594,6.35
595,Student_595,7.84
596,Student_596,1.26
597,Student_597,7.09
598,Student_598,3.35
599,Student_599,3.37
600,Student_600,1.57
601,Student_601,7.39
602,Student_602,5.62
603,Student_603,1.39
604,Student_604,6.63
605,Student_605,6.24
606,Student_606,7.88
607,Student_607,6.85
608,Student_608,3.72
609,Student_609,1.89
610,Student_610,4.39
611,Student_611,7.75
612,Student_612,7.84
613,Student_613,0.82
614,Student_614,1.69
615,Student_615,2.52
616,Student_616,7.37
617,Student_617,5.29
618,Student_618,6.33
619,Student_619,6.28
620,Student_620,5.72
621,Student_621,8.27
622,Student_622,7.79
623,Student_623,6.21
624,Student_624,4.74
625,Student_625,4.16
626,Student_626,8.78
627,Student_627,4.16
628,Student_628,5.75
629,Student_629,2.38
630,Student_630,4.50
631,Student_631,0.39
632,Student_632,6.62
633,Student_633,5.97
634,Student_634,6.96
635,Student_635,3.81
636,Student_636,5.31
637,Student_637,4.82
638,Student_638,8.19
639,Student_639,5.43
640,Student_640,1.09
641,Student_641,5.42
642,Student_642,1.75
643,Student_643,5.80
644,Student_644,0.04
645,Student_645,0.71
646,Student_646,5.70
647,Student_647,8.72
648,Student_648,5.60
649,Student_649,0.00
650,Student_650,2.50
651,Student_651,0.62
652,Student_652,2.40
653,Student_653,1.21
654,Student_654,4.57
655,Student_655,2.90
656,Student_656,0.57
657,Student_657,5.73
658,Student_658,4.99
659,Student_659,5.85
660,Student_660,1.41
661,Student_661,7.83
662,Student_662,5.43
663,Student_663,4.43
664,Student_664,7.14
665,Student_665,8.27
666,Student_666,0.97
667,Student_667,4.83
668,Student_668,8.25
669,Student_669,2.50
670,Student_670,8.99
671,Student_671,4.27
672,Student_672,0.20
673,Student_673,1.66
674,Student_674,8.26
675,Student_675,6.85
676,Student_676,6.62
677,Student_677,4.36
678,Student_678,9.52
679,Student_679,3.11
680,Student_680,0.78
681,Student_681,6.81
682,Student_682,8.92
683,Student_683,8.68
684,Student_684,0.38
685,Student_685,9.79
686,Student_686,7.69
687,Student_687,4.45
688,Student_688,8.43
689,Student_689,4.47
690,Student_690,9.26
691,Student_691,2.06
692,Student_692,3.37
693,Student_693,4.47
694,Student_694,8.52
695,Student_695,0.51
696,Student_696,5.21
697,Student_697,2.89
698,Student_698,7.07
699,Student_699,2.18
700,Student_700,8.11
701,Student_701,7.20
702,Student_702,3.89
703,Student_703,7.21
704,Student_704,7.68
705,Student_705,8.84
706,Student_706,0.52
707,Student_707,7.63
708,Student_708,0.71
709,Student_709,3.65
710,Student_710,5.51
711,Student_711,6.83
712,Student_712,2.33
713,Student_713,1.42
714,Student_714,8.18
715,Student_715,3.09
716,Student_716,8.83
717,Student_717,4.32
718,Student_718,0.85
719,Student_719,8.73
720,Student_720,2.81
721,Student_721,2.40
722,Student_722,1.82
723,Student_723,2.51
724,Student_724,8.75
725,Student_725,5.23
726,Student_726,3.90
727,Student_727,1.70
728,Student_728,4.58
729,Student_729,3.27
730,Student_730,1.62
731,Student_731,1.59
732,Student_732,5.06
733,Student_733,1.54
734,Student_734,2.91
735,Student_735,3.85
736,Student_736,3.41
737,Student_737,8.85
738,Student_738,8.79
739,Student_739,5.61
740,Student_740,3.64
741,Student_741,4.27
742,Student_742,9.22
743,Student_743,9.56
744,Student_744,9.87
745,Student_745,9.65
746,Student_746,1.83
747,Student_747,0.38
748,Student_748,4.56
749,Student_749,7.60
750,Student_750,4.78
751,Student_751,6.33
752,Student_752,0.56
753,Student_753,0.25
754,Student_754,1.03
755,Student_755,1.96
756,Student_756,6.52
757,Student_757,9.55
758,Student_758,1.48
759,Student_759,8.23
760,Student_760,0.88
761,Student_761,9.15
762,Student_762,0.14
763,Student_763,3.06
764,Student_764,8.48
765,Student_765,2.07
766,Student_766,1.55
767,Student_767,6.90
768,Student_768,0.93
769,Student_769,6.06
770,Student_770,5.72
771,Student_771,2.44
772,Student_772,7.66
773,Student_773,7.48
774,Student_774,6.87
775,Student_775,5.46
776,Student_776,7.91
777,Student_777,6.46
778,Student_778,2.14
779,Student_779,6.86
780,Student_780,4.78
781,Student_781,7.01
782,Student_782,4.96
783,Student_783,5.34
784,Student_784,3.86
785,Student_785,9.48
786,Student_786,4.81
787,Student_787,3.87
788,Student_788,9.26
789,Student_789,3.54
790,Student_790,0.32
791,Student_791,1.34
792,Student_792,7.09
793,Student_793,4.48
794,Student_794,4.97
795,Student_795,7.55
796,Student_796,7.01
797,Student_797,5.42
798,Student_798,3.33
799,Student_799,5.51
800,Student_800,9.31
801,Student_801,3.81
802,Student_802,6.81
803,Student_803,8.97
804,Student_804,3.19
805,Student_805,0.02
806,Student_806,2.88
807,Student_807,6.19
808,Student_808,8.25
809,Student_809,3.84
810,Student_810,1.91
811,Student_811,7.34
812,Student_812,0.62
813,Student_813,5.99
814,Student_814,5.43
815,Student_815,4.46
816,Student_816,7.25
817,Student_817,4.33
818,Student_818,6.38
819,Student_819,8.07
820,Student_820,2.16
821,Student_821,0.87
822,Student_822,0.36
823,Student_823,6.86
824,Student_824,9.11
825,Student_825,6.48
826,Student_826,3.45
827,Student_827,9.01
828,Student_828,1.86
829,Student_829,6.39
830,Student_830,1.12
831,Student_831,9.54
832,Student_832,1.52
833,Student_833,3.35
834,Student_834,7.61
835,Student_835,6.91
836,Student_836,5.63
837,Student_837,7.17
838,Student_838,2.13
839,Student_839,6.24
840,Student_840,5.12
841,Student_841,2.40
842,Student_842,7.29
843,Student_843,1.69
844,Student_844,6.53
845,Student_845,9.95
846,Student_846,3.72
847,Student_847,9.69
848,Student_848,3.55
849,Student_849,8.99
850,Student_850,9.23
851,Student_851,7.61
852,Student_852,3.94
853,Student_853,9.29
854,Student_854,1.57
855,Student_855,3.53
856,Student_856,6.64
857,Student_857,1.09
858,Student_858,1.60
859,Student_859,6.75
860,Student_860,8.51
861,Student_861,2.87
862,Student_862,2.01
863,Student_863,9.82
864,Student_864,4.17
865,Student_865,0.38
866,Student_866,2.70
867,Student_867,2.04
868,Student_868,6.80
869,Student_869,4.02
870,Student_870,2.16
871,Student_871,5.50
872,Student_872,7.90
873,Student_873,1.87
874,Student_874,8.63
875,Student_875,4.24
876,Student_876,0.48
877,Student_877,1.60
878,Student_878,1.94
879,Student_879,9.45
880,Student_880,3.72
881,Student_881,4.72
882,Student_882,6.34
883,Student_883,9.66
884,Student_884,4.96
885,Student_885,7.86
886,Student_886,5.47
887,Student_887,1.00
888,Student_888,4.15
889,Student_889,9.64
890,Student_890,8.38
891,Student_891,3.16
892,Student_892,1.66
893,Student_893,2.83
894,Student_894,0.79
895,Student_895,9.45
896,Student_896,3.76
897,Student_897,4.07
898,Student_898,1.45
899,Student_899,4.10
900,Student_900,5.88
901,Student_901,9.85
902,Student_902,0.30
903,Student_903,4.02
904,Student_904,6.67
905,Student_905,5.23
906,Student_906,4.24
907,Student_907,1.14
908,Student_908,9.97
909,Student_909,0.63
910,Student_910,8.98
911,Student_911,3.21
912,Student_912,5.67
913,Student_913,2.07
914,Student_914,8.68
915,Student_915,5.55
916,Student_916,7.34
917,Student_917,9.80
918,Student_918,4.04
919,Student_919,2.63
920,Student_920,7.08
921,Student_921,1.84
922,Student_922,5.31
923,Student_923,1.80
924,Student_924,8.55
925,Student_925,8.06
926,Student_926,7.16
927,Student_927,0.95
928,Student_928,4.30
929,Student_929,3.68
930,Student_930,5.48
931,Student_931,8.21
932,Student_932,4.94
933,Student_933,0.72
934,Student_934,0.60
935,Student_935,4.00
936,Student_936,5.37
937,Student_937,1.78
938,Student_938,2.31
939,Student_939,0.38
940,Student_940,8.88
941,Student_941,2.92
942,Student_942,8.89
943,Student_943,8.53
944,Student_944,7.04
945,Student_945,3.07
946,Student_946,7.95
947,Student_947,4.86
948,Student_948,2.14
949,Student_949,6.00
950,Student_950,0.98
951,Student_951,7.94
952,Student_952,8.31
953,Student_953,0.07
954,Student_954,6.78
955,Student_955,0.79
956,Student_956,5.59
957,Student_957,9.93
958,Student_958,1.49
959,Student_959,4.50
960,Student_960,1.47
961,Student_961,7.67
962,Student_962,2.91
963,Student_963,2.89
964,Student_964,4.09
965,Student_965,5.21
966,Student_966,5.71
967,Student_967,4.02
968,Student_968,7.66
969,Student_969,3.92
970,Student_970,5.67
971,Student_971,9.84
972,Student_972,0.13
973,Student_973,4.03
974,Student_974,0.32
975,Student_975,1.68
976,Student_976,6.92
977,Student_977,8.57
978,Student_978,8.56
979,Student_979,8.67
980,Student_980,8.67
981,Student_981,4.24
982,Student_982,0.42
983,Student_983,9.85
984,Student_984,9.70
985,Student_985,9.92
986,Student_986,5.69
987,Student_987,6.65
988,Student_988,3.32
989,Student_989,2.00
990,Student_990,4.23
991,Student_991,2.11
992,Student_992,8.15
993,Student_993,0.36
994,Student_994,4.41
995,Student_995,9.76
996,Student_996,1.13
997,Student_997,8.32
998,Student_998,8.60
999,Student_999,0.48
1000,Student_1000,0.54
1001,Student_1001,2.72
1002,Student_1002,4.73
1003,Student_1003,8.12
1004,Student_1004,9.14
1005,Student_1005,2.22
1006,Student_1006,2.17
1007,Student_1007,6.63
1008,Student_1008,1.46
1009,Student_1009,5.48
1010,Student_1010,3.96
1011,Student_1011,6.86
1012,Student_1012,0.78
1013,Student_1013,9.01
1014,Student_1014,7.93
1015,Student_1015,1.59
1016,Student_1016,3.89
1017,Student_1017,2.09
1018,Student_1018,9.74
1019,Student_1019,3.38
1020,Student_1020,4.62
1021,Student_1021,4.63
1022,Student_1022,3.99
1023,Student_1023,2.79
1024,Student_1024,6.41
1025,Student_1025,1.16
1026,Student_1026,5.89
1027,Student_1027,9.78
1028,Student_1028,0.84
1029,Student_1029,8.48
1030,Student_1030,9.17
1031,Student_1031,1.31
1032,Student_1032,0.55
1033,Student_1033,7.30
1034,Student_1034,3.27
1035,Student_1035,3.16
1036,Student_1036,3.16
1037,Student_1037,5.82
1038,Student_1038,0.28
1039,Student_1039,7.59
1040,Student_1040,8.51
1041,Student_1041,9.18
1042,Student_1042,2.06
1043,Student_1043,4.58
1044,Student_1044,5.31
1045,Student_1045,7.10
1046,Student_1046,8.98
1047,Student_1047,8.41
1048,Student_1048,1.33
1049,Student_1049,0.46
1050,Student_1050,3.13
1051,Student_1051,1.95
1052,Student_1052,1.35
1053,Student_1053,6.36
1054,Student_1054,9.22
1055,Student_1055,3.62
1056,Student_1056,0.99
1057,Student_1057,1.31
1058,Student_1058,3.11
1059,Student_1059,1.07
1060,Student_1060,8.73
1061,Student_1061,2.87
1062,Student_1062,0.76
1063,Student_1063,6.81
1064,Student_1064,7.80
1065,Student_1065,2.98
1066,Student_1066,2.34
1067,Student_1067,3.86
1068,Student_1068,1.38
1069,Student_1069,0.03
1070,Student_1070,0.39
1071,Student_1071,10.00
1072,Student_1072,6.15
1073,Student_1073,5.87
1074,Student_1074,5.10
1075,Student_1075,2.73
1076,Student_1076,7.59
1077,Student_1077,3.68
1078,Student_1078,9.76
1079,Student_1079,8.91
1080,Student_1080,7.44
1081,Student_1081,1.59
1082,Student_1082,8.85
1083,Student_1083,5.17
1084,Student_1084,4.25
1085,Student_1085,7.38
1086,Student_1086,8.51
1087,Student_1087,1.92
1088,Student_1088,9.17
1089,Student_1089,3.14
1090,Student_1090,2.90
1091,Student_1091,3.38
1092,Student_1092,4.52
1093,Student_1093,5.74
1094,Student_1094,1.56
1095,Student_1095,2.85
1096,Student_1096,2.61
1097,Student_1097,3.27
1098,Student_1098,7.16
1099,Student_1099,9.39
1100,Student_1100,0.86
1101,Student_1101,8.13
1102,Student_1102,2.05
1103,Student_1103,4.99
1104,Student_1104,0.16
1105,Student_1105,0.04
1106,Student_1106,8.64
1107,Student_1107,7.59
1108,Student_1108,8.93
1109,Student_1109,4.27
1110,Student_1110,5.33
1111,Student_1111,1.21
1112,Student_1112,4.99
1113,Student_1113,0.40
1114,Student_1114,6.41
1115,Student_1115,2.83
1116,Student_1116,1.13
1117,Student_1117,9.78
1118,Student_1118,4.56
1119,Student_1119,3.29
1120,Student_1120,2.09
1121,Student_1121,6.94
1122,Student_1122,6.20
1123,Student_1123,4.16
1124,Student_1124,0.05
1125,Student_1125,4.97
1126,Student_1126,5.80
1127,Student_1127,1.19
1128,Student_1128,9.83
1129,Student_1129,0.56
1130,Student_1130,1.95
1131,Student_1131,1.48
1132,Student_1132,3.30
1133,Student_1133,2.11
1134,Student_1134,8.86
1135,Student_1135,2.32
1136,Student_1136,5.49
1137,Student_1137,1.90
1138,Student_1138,4.83
1139,Student_1139,4.62
1140,Student_1140,1.30
1141,Student_1141,7.13
1142,Student_1142,0.30
1143,Student_1143,8.79
1144,Student_1144,6.68
1145,Student_1145,7.20
1146,Student_1146,0.08
1147,Student_1147,2.27
1148,Student_1148,8.47
1149,Student_1149,9.76
1150,Student_1150,6.77
1151,Student_1151,0.69
1152,Student_1152,2.58
1153,Student_1153,0.26
1154,Student_1154,7.91
1155,Student_1155,1.20
1156,Student_1156,6.81
1157,Student_1157,1.85
1158,Student_1158,0.00
1159,Student_1159,2.08
1160,Student_1160,5.93
1161,Student_1161,0.68
1162,Student_1162,7.85
1163,Student_1163,4.47
1164,Student_1164,7.64
1165,Student_1165,7.70
1166,Student_1166,9.67
1167,Student_1167,6.82
1168,Student_1168,6.63
1169,Student_1169,9.89
1170,Student_1170,5.02
1171,Student_1171,1.18
1172,Student_1172,3.99
1173,Student_1173,1.53
1174,Student_1174,6.68
1175,Student_1175,1.03
1176,Student_1176,2.91
1177,Student_1177,0.96
1178,Student_1178,2.71
1179,Student_1179,9.25
1180,Student_1180,1.24
1181,Student_1181,6.75
1182,Student_1182,7.43
1183,Student_1183,9.46
1184,Student_1184,4.34
1185,Student_1185,4.89
1186,Student_1186,8.37
1187,Student_1187,6.90
1188,Student_1188,8.08
1189,Student_1189,8.88
1190,Student_1190,8.93
1191,Student_1191,4.02
1192,Student_1192,3.74
1193,Student_1193,6.22
1194,Student_1194,8.85
1195,Student_1195,8.27
1196,Student_1196,3.43
1197,Student_1197,8.87
1198,Student_1198,6.04
1199,Student_1199,3.28
1200,Student_1200,1.90
1201,Student_1201,3.27
1202,Student_1202,6.53
1203,Student_1203,3.57
1204,Student_1204,7.41
1205,Student_1205,6.56
1206,Student_1206,4.33
1207,Student_1207,3.52
1208,Student_1208,9.77
1209,Student_1209,3.94
1210,Student_1210,9.99
1211,Student_1211,4.21
1212,Student_1212,6.11
1213,Student_1213,4.50
1214,Student_1214,6.58
1215,Student_1215,3.35
1216,Student_1216,7.63
1217,Student_1217,6.23
1218,Student_1218,1.73
1219,Student_1219,9.10
1220,Student_1220,0.56
1221,Student_1221,0.88
1222,Student_1222,6.53
1223,Student_1223,5.89
1224,Student_1224,9.86
1225,Student_1225,3.61
1226,Student_1226,0.62
1227,Student_1227,9.15
1228,Student_1228,0.07
1229,Student_1229,6.64
